temRT,temHashtag,temUser,temURL,temLetraRepetid,numeroLetrasRepetidas,temPontoInterrogacao,temPontoExclamaco,EmojisPositivo,EmojisNegativo,quantidadePalavras,quantidadePalavrasQueIniciamMaiusculas,quantidadePalavrastodasAsLetrasMaiusculas,quantidadeLetrasMaiusculas,quantidadePontosInterogacao,quantidadePontosExclamacao,quantidadeEmojisPositivos,quantidadeEmojisNegativos,mediaCharacteresPorPalavra,classe
0,0,0,0,0,0,0,0,0.0,0.0,32.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,19.0,13.0,3.0,20.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,27.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,1,0,1,1,19,0,1,0.0,0.0,22.0,3.0,0.0,13.0,0.0,3.0,0.0,0.0,10.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,0,1,0,0,0,0,0.0,0.0,12.0,7.0,1.0,15.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,22.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,11.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,1,0,0,0,0,0.0,0.0,15.0,10.0,4.0,21.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,5,0,1,0.0,0.0,44.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,NEGATIVO
0,0,0,1,1,7,0,0,0.0,0.0,15.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,1,1,5,0,0,0.0,0.0,12.0,7.0,1.0,14.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,13.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,1,3,0,0,0.0,0.0,39.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,17.0,12.0,4.0,22.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,38.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,7,1,0,0.0,0.0,38.0,6.0,2.0,18.0,1.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,1,0,1,0,0,0,0,0.0,0.0,10.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,13.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,31.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,1,1,1,4,0,0,0.0,0.0,26.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,1,0,1,1,4,0,0,0.0,0.0,50.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,NEUTRO
0,0,0,0,1,3,0,0,0.0,1.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,POSITIVO
0,0,0,1,0,0,0,0,0.0,0.0,12.0,8.0,1.0,16.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,20.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,1,0,1,6,0,0,0.0,0.0,49.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,6,0,0,0.0,0.0,17.0,9.0,1.0,14.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,1,0,1,4,0,0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,10.0,7.0,5.0,33.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,NEGATIVO
0,0,0,1,1,5,0,0,0.0,0.0,12.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,24.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,6.0,NEGATIVO
0,0,0,0,1,6,0,0,0.0,0.0,12.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,1,3,0,0,0.0,0.0,39.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,NEGATIVO
0,0,1,0,0,0,0,0,0.0,0.0,33.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,1,1,1,4,0,0,0.0,0.0,47.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,5.0,NEGATIVO
0,0,1,0,1,6,0,0,0.0,0.0,47.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,12.0,7.0,1.0,16.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,1,0,0,0,1,0,0.0,0.0,37.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,NEUTRO
0,0,0,0,1,4,0,0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NEGATIVO
0,0,0,1,1,4,0,0,0.0,0.0,13.0,8.0,1.0,17.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,0,1,3,0,0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,5,0,0,0.0,0.0,13.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,1,0,1,4,0,0,0.0,0.0,46.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,NEGATIVO
0,0,1,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,NEGATIVO
0,0,1,0,0,0,0,0,0.0,0.0,50.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,1,0,1,8,0,0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,5,0,0,0.0,0.0,12.0,7.0,1.0,19.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,31.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,11.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,1,5,0,0,0.0,0.0,42.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,9.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,0,0,0,0,0.0,0.0,18.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,1,0,1,1,5,0,0,0.0,0.0,33.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,41.0,7.0,7.0,21.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,28.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,1,3,0,0,0.0,0.0,27.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,6,0,0,0.0,0.0,35.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,POSITIVO
0,0,0,0,0,0,1,0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,0,1,1,5,0,0,0.0,0.0,11.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,1,5,0,0,0.0,0.0,9.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,28.0,6.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,1,0,0,0,1,0,0.0,0.0,9.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,NEUTRO
0,0,0,0,0,0,1,0,0.0,0.0,25.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,NEUTRO
0,0,0,1,1,3,1,0,0.0,0.0,11.0,9.0,9.0,56.0,1.0,0.0,0.0,0.0,6.0,NEUTRO
